id,conversation_id,customer_message,intent,state_device_type,historical_action,modern_action,expected_drift_flag,notes
DRIFT_001,1666506,@SpotifyCares is there a way we can do an annual subscription to Spotify?,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_002,1630476,@SpotifyCares Hi. Trying to update credit card details but it won't accept my new card. Can you look into this?,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_003,1157911,@SpotifyCares I get charged each month but the accounts I log into say I'm not on premium. I need help,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_004,1190796,@SpotifyCares having trouble updating payment info. Keeps reverting back to premium for students and charge doesn't go through. Help?,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_005,1190761,@SpotifyCares I'm trying to change my payment method and it won't work. Please send help!,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_006,1666481,"@SpotifyCares I bought a 6 month voucher in June as gift I’d like to renew/ extend the gift subscription- can’t work out how, pls help!!",SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_007,1347523,"@SpotifyCares hi, I am trying to connect my facebook account to my premium account and keep getting this error ""Sorry there has been a temporary error, please try again later."" i am using iPhone X",SUBSCRIPTION_BILLING_PREMIUM,iPhone,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_008,1272247,@SpotifyCares jaxster1969 premium account no longer active and NUS link not working on your web site - please help,SUBSCRIPTION_BILLING_PREMIUM,unknown,REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_009,1697994,@SpotifyCares - I have set my Android device to store all downloads on my SD card with 25gb of space yet when checking my device's storage the downloads are being stored there instead. I've cleared data and cache and verified the setting for the storage location.,SUBSCRIPTION_BILLING_PREMIUM,Android,REQUEST_INFORMATION,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
DRIFT_010,1736638,@SpotifyCares why can’t I skip songs when I just bought premium https://t.co/i6MYV9qoZz,SUBSCRIPTION_BILLING_PREMIUM,unknown,REQUEST_INFO_AND_REDIRECT_DM,REQUEST_INFO_AND_REDIRECT_DM,True,Temporal shift benchmark case comparing early 2017 support patterns vs modern private routing
